Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
PULASKI MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST VINCENT WILLIAMSPORT HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Church,Yes
ST VINCENT MERCY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
ST VINCENT CLAY HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WABASH COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,Critical Access Hospitals,Government - Local,Yes
INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
WOODLAWN HOSPITAL,Critical Access Hospitals,Government - Local,Yes
ST VINCENT SALEM HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CAMERON MEMORIAL COMMUNITY HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST VINCENT FRANKFORT HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Church,Yes
GREENE COUNTY GENERAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
DUKES MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
GIBSON GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
JAY COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PERRY COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PARKVIEW LAGRANGE HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
JASPER COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
ST MARY'S WARRICK HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
UNION HOSPITAL CLINTON,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SULLIVAN COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MARGARET MARY COMMUNITY HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ADAMS MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
HARRISON COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
DECATUR COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PUTNAM COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL,Critical Access Hospitals,Government - Local,Yes
ST VINCENT DUNN HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Other,Yes
MARSHALLTOWN MEDICAL & SURGICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST ANTHONY REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
KEOKUK AREA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TRINITY MUSCATINE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TRINITY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
IOWA LUTHERAN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALEGENT HEALTH MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MARY GREELEY MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
SKIFF MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
GENESIS MEDICAL CENTER-DAVENPORT,Acute Care Hospitals,Voluntary non-profit - Other,Yes
VA CENTRAL IOWA HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
SARTORI MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST LUKES HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JENNIE EDMUNDSON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
IOWA CITY VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
GREAT RIVER MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNIVERSITY OF IOWA HOSPITAL & CLINICS,Acute Care Hospitals,Government - State,Yes
MERCY MEDICAL CENTER-NORTH IOWA,Acute Care Hospitals,Voluntary non-profit - Church,Yes
COVENANT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MERCY MEDICAL CENTER-DUBUQUE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MERCY MEDICAL CENTER - CEDAR RAPIDS,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MERCY MEDICAL CENTER-CLINTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
IOWA METHODIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY MEDICAL CENTER-DES MOINES,Acute Care Hospitals,Voluntary non-profit - Private,Yes
OTTUMWA REGIONAL HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BROADLAWNS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
TRINITY BETTENDORF,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALLEN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SPENCER MUNICIPAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
THE FINLEY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
FORT MADISON COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAKES REGIONAL HEALTHCARE,Acute Care Hospitals,Government - Local,Yes
ST LUKES REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GRINNELL REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY MEDICAL CENTER-SIOUX CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAUM HARMON MERCY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
BELMOND MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
WRIGHT MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
GRUNDY COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
ALEGENT HEALTH MERCY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
POCAHONTAS COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
JONES REGIONAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HANCOCK COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
FRANKLIN GENERAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ADAIR COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HAWARDEN COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
GUTTENBERG MUNICIPAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
GENESIS MEDICAL CENTER-DEWITT,Critical Access Hospitals,Voluntary non-profit - Private,Yes
GUTHRIE COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
KEOKUK COUNTY HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
PALMER LUTHERAN HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MARENGO MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
VETERANS MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
CENTRAL COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SANFORD HOSPITAL ROCK RAPIDS,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DALLAS COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
MITCHELL COUNTY REGIONAL HEALTH,Critical Access Hospitals,Voluntary non-profit - Other,Yes
GEORGE C GRAPE COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
GREENE COUNTY MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
MADISON COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
DAVIS COUNTY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
REGIONAL HEALTH SERVICES OF HOWARD COUNTY,Critical Access Hospitals,Government - Local,Yes
JACKSON COUNTY REGIONAL HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
AUDUBON COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
MERCY MEDICAL CENTER-NEW HAMPTON,Critical Access Hospitals,Voluntary non-profit - Church,Yes
MANNING REGIONAL HEALTHCARE CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
STORY COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
BUCHANAN COUNTY HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HEGG MEMORIAL HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
VAN BUREN COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN,Critical Access Hospitals,Voluntary non-profit - Other,Yes
WAVERLY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
DECATUR COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
LUCAS COUNTY HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
MONROE COUNTY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
REGIONAL MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,Government - State,Yes
OSCEOLA COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SIOUX CENTER COMMUNITY HOSPITAL & HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,No
FLOYD COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
CLARKE COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
STEWART MEMORIAL COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
AVERA HOLY FAMILY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
CLARINDA REGIONAL HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
KOSSUTH REGIONAL HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
HORN MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
KNOXVILLE HOSPITAL & CLINICS,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HENRY COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
PALO ALTO COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
WAYNE COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
BURGESS HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ORANGE CITY AREA HEALTH SYSTEM,Critical Access Hospitals,Voluntary non-profit - Other,Yes
VAN DIEST MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
CHEROKEE REGIONAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MONTGOMERY COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
JEFFERSON COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
GREATER REGIONAL MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
SHENANDOAH MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PELLA REGIONAL HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
FLOYD VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
CRAWFORD COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
WINNESHIEK MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
BOONE COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
RINGGOLD COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
MYRTUE MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
BUENA VISTA REGIONAL MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
CASS COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
MERCY MEDICAL CENTER-CENTERVILLE,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MERCY MEDICAL CENTER-DYERSVILLE,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MAHASKA  HEALTH PARTNERSHIP,Critical Access Hospitals,Voluntary non-profit - Other,Yes
ELLSWORTH MUNICIPAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SANFORD SHELDON MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
NEWMAN REGIONAL HEALTH,Acute Care Hospitals,Government - Local,Yes
VIA CHRISTI HOSPITAL PITTSBURG INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT JOHN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MERCY HOSPITAL INDEPENDENCE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SALINA REGIONAL HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HAYS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
RANSOM MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
ST FRANCIS HEALTH CENTER INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SUSAN B ALLEN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HUTCHINSON REGIONAL MEDICAL CENTER INC,Acute Care Hospitals,Proprietary,Yes
ST CATHERINE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PRATT REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CENTRAL KANSAS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit-Church,Not Available
SUMNER REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
UNIVERSITY OF KANSAS HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
OLATHE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY HOSPITAL-FORT SCOTT,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SOUTHWEST MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
VA EASTERN KANSAS HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
GEARY COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
STORMONT-VAIL HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WICHITA VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
COFFEY COUNTY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
NEWTON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SHAWNEE MISSION MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MCPHERSON HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MIAMI COUNTY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
LABETTE HEALTH,Acute Care Hospitals,Government - Local,Yes
VIA CHRISTI HOSPITALS WICHITA INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
WESLEY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CUSHING MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAWRENCE MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
MERCY REGIONAL HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
COFFEYVILLE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
PROVIDENCE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SOUTH CENTRAL KS  MED CENTER,Acute Care Hospitals,Government - Local,Yes
MORTON COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WESTERN PLAINS MEDICAL COMPLEX,Acute Care Hospitals,Proprietary,Yes
OVERLAND PARK REG MED CTR,Acute Care Hospitals,Proprietary,Yes
MENORAH MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KANSAS SURGERY & RECOVERY CENTER,Acute Care Hospitals,Proprietary,No
SAINT LUKE'S SOUTH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KANSAS HEART HOSPITAL,Acute Care Hospitals,Proprietary,No
SALINA SURGICAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
KANSAS CITY ORTHOPAEDIC INSTITUTE,Acute Care Hospitals,Government Federal,No
MANHATTAN SURGICAL HOSPITAL LLC,Acute Care Hospitals,Government Federal,No
GREAT BEND REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
GALICHIA HEART HOSPITAL LLC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DOCTORS HOSPITAL LLC,Acute Care Hospitals,Proprietary,Yes
HEARTLAND SURGICAL SPEC HOSPITAL,Acute Care Hospitals,Proprietary,No
KANSAS SPINE HOSPITAL LLC,Acute Care Hospitals,Voluntary non-profit - Private,No
KANSAS MEDICAL CENTER LLC,Acute Care Hospitals,Proprietary,Yes
SUMMIT SURGICAL LLC,Acute Care Hospitals,Voluntary non-profit - Private,No
MINIMALLY INVASIVE SURGERY HOSPITAL,Acute Care Hospitals,Proprietary,No
VIA CHRISTI HOSPITAL WICHITA ST TERESA INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
GRISELL MEMORIAL HOSPITAL DISTRICT #1,Critical Access Hospitals,Government - Hospital District or Authority,Yes
ELLINWOOD DISTRICT HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
OSWEGO COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ASHLAND HEALTH CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
WICHITA COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,No
CHEYENNE COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
COMANCHE COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
KEARNY COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
JEFFERSON COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
NEMAHA VALLEY COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ANDERSON COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
EDWARDS COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SEDAN CITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
HOLTON COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HORTON COMMUNITY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
MEADE DISTRICT HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
HAMILTON COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
GRAHAM COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
ELLSWORTH COUNTY MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
OTTAWA COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
KIOWA DISTRICT HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
CLARA BARTON HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
NESS COUNTY HOSPITAL DISTRICT #2,Critical Access Hospitals,Government - Local,Yes
WAMEGO CITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SABETHA COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
GREENWOOD COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
HERINGTON MUNICIPAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HIAWATHA COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
STANTON COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
WILSON MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
SHERIDAN COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
NORTON COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
CLOUD COUNTY HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
RUSSELL REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
DECATUR COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PHILLIPS COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",Critical Access Hospitals,Voluntary non-profit - Private,Yes
TREGO COUNTY LEMKE MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
ST LUKE HOSPITAL & LIVING CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
HILLSBORO COMMUNITY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
LINDSBORG COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
GREELEY COUNTY HEALTH SERVICES,Critical Access Hospitals,Government - Local,Yes
REPUBLIC COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
OSBORNE COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HARPER HOSPITAL DISTRICT NO 5,Critical Access Hospitals,Government - Hospital District or Authority,Yes
GOVE COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HODGEMAN COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
GOODLAND REGIONAL MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
CLAY COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
SCOTT COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
ALLEN COUNTY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
FREDONIA REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,Critical Access Hospitals,Government - Local,Yes
GIRARD MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
SMITH COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
KINGMAN COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MORRIS COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
ATCHISON HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WILLIAM NEWTON HOSPITAL,Critical Access Hospitals,Government - Local,Yes
CHILDREN'S MERCY  SOUTH,Childrens,Voluntary non-profit - Private,No
ST ELIZABETH FT THOMAS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WHITESBURG ARH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MUHLENBERG COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HIGHLANDS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KING'S DAUGHTERS' MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SAINT JOSEPH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SAINT JOSEPH HOSPITAL LONDON,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HARDIN MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
THE MEDICAL CENTER AT BOWLING GREEN,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JEWISH HOSPITAL - SHELBYVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
T J SAMSON COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST CLAIRE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MEADOWVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PINEVILLE COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SPRING VIEW HOSPITAL,Acute Care Hospitals,Proprietary,Yes
FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MURRAY-CALLOWAY COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HAZARD ARH REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,No
ST ELIZABETH MEDICAL CENTER NORTH,Acute Care Hospitals,Voluntary non-profit - Church,Yes
OUR LADY OF BELLEFONTE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
OWENSBORO MEDICAL HEALTH SYSTEM,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PIKEVILLE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST ELIZABETH FLORENCE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BOURBON COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PATTIE A CLAY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HARLAN APPALACHIAN REGIONAL HEALTHCARE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
JENNIE STUART MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FLEMING COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
